as_of_date,published_date,country,category,visa_status,pd_year,pd_month,count,suppressed,source_url
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,1,45,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,1,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,1,17,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,1,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,1,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,1,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,1,12,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,1,41,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,1,97,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,1,377,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2024,1,794,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,2,37,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,2,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,2,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,2,21,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,2,11,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,2,14,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,2,36,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,2,48,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,2,145,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,2,507,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2024,2,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,3,51,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,3,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,3,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,3,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,3,22,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,3,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,3,25,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,3,74,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,3,126,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,3,906,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,4,55,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,4,12,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,4,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,4,11,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,4,14,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,4,12,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,4,24,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
