as_of_quarter,dataset,period_start,period_end,published_date,form_type,q_receipts,q_approvals,q_denials,q_completions,ytd_receipts,ytd_approvals,pending,median_processing_months,suppressed_q,source_url,source_title
FY2026Q1,ALL_FORMS_SUMMARY,2025-10-01,2025-12-31,2026-06-12,I526_LEGACY_PRE_RIA,0,29,41,70,0,29,1071,93.2,false,https://www.uscis.gov/sites/default/files/document/reports/quarterly_all_forms_fy2026_q1_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 1"
FY2026Q1,ALL_FORMS_SUMMARY,2025-10-01,2025-12-31,2026-06-12,I526_STANDALONE,98,5,5,10,98,5,736,22.3,false,https://www.uscis.gov/sites/default/files/document/reports/quarterly_all_forms_fy2026_q1_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 1"
FY2026Q1,ALL_FORMS_SUMMARY,2025-10-01,2025-12-31,2026-06-12,I526E,1667,764,176,940,1667,764,9734,8.4,false,https://www.uscis.gov/sites/default/files/document/reports/quarterly_all_forms_fy2026_q1_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 1"
FY2026Q1,ALL_FORMS_SUMMARY,2025-10-01,2025-12-31,2026-06-12,I829,1013,941,64,1005,1013,941,6824,8.9,false,https://www.uscis.gov/sites/default/files/document/reports/quarterly_all_forms_fy2026_q1_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 1"
FY2026Q1,ALL_FORMS_SUMMARY,2025-10-01,2025-12-31,2026-06-12,I956,10,13,3,16,10,13,42,10.5,false,https://www.uscis.gov/sites/default/files/document/reports/quarterly_all_forms_fy2026_q1_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 1"
FY2026Q1,ALL_FORMS_SUMMARY,2025-10-01,2025-12-31,2026-06-12,I956F,55,39,12,51,55,39,152,7.1,false,https://www.uscis.gov/sites/default/files/document/reports/quarterly_all_forms_fy2026_q1_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 1"
FY2026Q1,ALL_FORMS_SUMMARY,2025-10-01,2025-12-31,2026-06-12,I956G,280,0,0,0,280,0,0,,false,https://www.uscis.gov/sites/default/files/document/reports/quarterly_all_forms_fy2026_q1_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 1"
FY2026Q1,ALL_FORMS_SUMMARY,2025-10-01,2025-12-31,2026-06-12,I956H,496,0,0,0,496,0,0,,false,https://www.uscis.gov/sites/default/files/document/reports/quarterly_all_forms_fy2026_q1_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 1"
FY2026Q1,ALL_FORMS_SUMMARY,2025-10-01,2025-12-31,2026-06-12,I956K,174,302,44,346,174,302,515,,false,https://www.uscis.gov/sites/default/files/document/reports/quarterly_all_forms_fy2026_q1_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 1"
FY2026Q2,ALL_FORMS_SUMMARY,2026-01-01,2026-03-31,2026-08-04,I526_LEGACY_PRE_RIA,0,15,57,72,0,44,1030,94.1,false,https://www.uscis.gov/sites/default/files/document/data/quarterly_all_forms_fy2026_q2_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 2"
FY2026Q2,ALL_FORMS_SUMMARY,2026-01-01,2026-03-31,2026-08-04,I526_STANDALONE,73,11,12,23,172,16,776,23.7,false,https://www.uscis.gov/sites/default/files/document/data/quarterly_all_forms_fy2026_q2_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 2"
FY2026Q2,ALL_FORMS_SUMMARY,2026-01-01,2026-03-31,2026-08-04,I526E,1699,781,199,980,3387,1571,10453,11.7,false,https://www.uscis.gov/sites/default/files/document/data/quarterly_all_forms_fy2026_q2_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 2"
FY2026Q2,ALL_FORMS_SUMMARY,2026-01-01,2026-03-31,2026-08-04,I829,1136,742,64,806,2157,1683,7171,10.9,false,https://www.uscis.gov/sites/default/files/document/data/quarterly_all_forms_fy2026_q2_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 2"
FY2026Q2,ALL_FORMS_SUMMARY,2026-01-01,2026-03-31,2026-08-04,I956,15,11,7,18,25,24,47,10.3,false,https://www.uscis.gov/sites/default/files/document/data/quarterly_all_forms_fy2026_q2_v1.xlsx,"All USCIS Application and Petition Form Types — Fiscal Year 2026, Quarter 2"
