as_of_quarter,dataset,period_start,period_end,published_date,form_type,country,tea_category,receipt_year,receipt_quarter,receipt_month,count,suppressed,source_url,source_title
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,rest_of_the_world,HIGH_UNEMPLOYMENT,2025,1,10,4,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,rest_of_the_world,HIGH_UNEMPLOYMENT,2025,1,11,2,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,rest_of_the_world,HIGH_UNEMPLOYMENT,2025,1,12,8,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,china,HIGH_UNEMPLOYMENT,2025,1,10,14,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,china,HIGH_UNEMPLOYMENT,2025,1,11,3,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,china,HIGH_UNEMPLOYMENT,2025,1,12,14,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,india,HIGH_UNEMPLOYMENT,2025,1,10,9,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,india,HIGH_UNEMPLOYMENT,2025,1,11,11,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,india,HIGH_UNEMPLOYMENT,2025,1,12,9,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,rest_of_the_world,RURAL,2025,1,12,4,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,china,RURAL,2025,1,10,1,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,china,RURAL,2025,1,12,2,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,india,RURAL,2025,1,11,2,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,india,RURAL,2025,1,12,2,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,rest_of_the_world,UNRESERVED,2025,1,10,2,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,rest_of_the_world,UNRESERVED,2025,1,11,4,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,rest_of_the_world,UNRESERVED,2025,1,12,3,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,vietnam,UNRESERVED,2025,1,10,1,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,rest_of_the_world,UNKNOWN_TEA,2025,1,10,2,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
FY2026Q1,FILINGS_COUNTRY_TEA,2025-10-01,2025-12-31,2026-06-12,I526,china,UNKNOWN_TEA,2025,1,12,1,false,https://www.uscis.gov/sites/default/files/document/reports/i526_i526E_r_cob_pref_fy2026_q1_v1.xlsx,"Form I-526, Immigrant Petition by Standalone Investor and Form I-526E, Immigrant Petition by Regional Center Investor — Fiscal Year 2026, Quarter 1"
